A001_签到_Fri Jul 03 14:24:19 CST 2020
B001_签到_Fri Jul 03 14:24:35 CST 2020
B001_签退_Fri Jul 03 14:24:42 CST 2020
A001_签到_Fri Jul 03 14:42:16 CST 2020
A001_签退_Fri Jul 03 14:42:27 CST 2020
A001_签退_Fri Jul 03 14:43:34 CST 2020
A001_签退_Fri Jul 03 14:44:49 CST 2020
A001_签到_Sat Jul 04 10:22:09 CST 2020
Q001_签到_Sat Jul 04 10:34:13 CST 2020
Q001_签到_Sat Jul 04 10:37:03 CST 2020
A001_签到_Sat Jul 04 11:00:44 CST 2020
A001_签到_120:6:6:11:1:39
C001_签到_120:6:6:11:1:48
A001_签退_120:6:6:11:2:5
A001_签到_Sat Jul 04 11:05:59 CST 2020:11:5:59
A001_签退_Sat Jul 04 11:06:08 CST 2020:11:6:8
A001_签到_4:11:10:19
A001_签到_120:7:4:4:11:15:40
A001_签到_2020:7:4:11:17:14
